date,close
2011-07-01,51.5437
2011-07-04,50.6716
2011-07-05,50.4885
2011-07-06,50.8512
2011-07-07,51.6212
2011-07-08,50.8892
2011-07-11,51.2146
2011-07-12,50.8512
2011-07-13,51.4381
2011-07-14,51.0352
2011-07-15,50.8512
2011-07-18,50.8512
2011-07-19,52.6817
2011-07-20,51.9556
2011-07-21,51.5825
2011-07-22,52.605
2011-07-25,52.4977
2011-07-26,51.9109
2011-07-27,50.4885
2011-07-28,51.9109
2011-07-29,53.3727
2011-08-01,51.2585
2011-08-02,50.9235
2011-08-03,51.476
2011-08-04,50.56
2011-08-05,51.1118
2011-08-08,49.3894
2011-08-09,46.865
2011-08-10,45.3652
2011-08-11,47.3795
2011-08-12,46.7912
2011-08-16,46.6103
2011-08-17,47.1949
2011-08-18,48.5845
2011-08-19,48.4392
2011-08-22,47.2306
2011-08-23,46.2789
2011-08-24,47.0489
2011-08-25,48.6187
2011-08-26,47.1949
2011-08-29,48.4392
2011-08-30,49.5726
2011-08-31,49.239
2011-09-01,48.6581
2011-09-02,48.6581
2011-09-05,47.9239
2011-09-06,47.4123
2011-09-07,47.9595
2011-09-08,49.3894
2011-09-09,48.2553
2011-09-12,48.2165
2011-09-13,48.6187
2011-09-14,50.4155
2011-09-15,49.026
2011-09-16,46.8269
2011-09-19,45.2206
2011-09-20,44.9988
2011-09-21,46.8269
2011-09-22,47.1949
2011-09-23,45.5505
2011-09-26,45.5819
2011-09-27,46.5008
2011-09-28,46.4606
2011-09-29,46.8269
2011-09-30,46.865
2011-10-03,45.6906
2011-10-04,45.2922
2011-10-05,44.8178
2011-10-06,45.6906
2011-10-07,46.2789
2011-10-10,45.7672
2011-10-11,45.4001
2011-10-12,48.0721
2011-10-13,47.5613
2011-10-14,47.2306
2011-10-17,47.4524
2011-10-18,46.2789
2011-10-19,46.3154
2011-10-20,46.4606
2011-10-21,47.5613
2011-10-24,47.5613
2011-10-25,48.7303
2011-10-26,49.4222
2011-10-27,49.6062
2011-10-28,50.3039
2011-10-31,48.6581
2011-11-02,47.7794
2011-11-03,48.8034
2011-11-04,49.3894
2011-11-07,49.3894
2011-11-08,46.7547
2011-11-09,46.0987
2011-11-10,46.208
2011-11-14,47.2671
2011-11-15,47.3028
2011-11-16,47.6692
2011-11-17,46.8269
2011-11-18,48.2895
2011-11-21,47.489
2011-11-22,47.1949
2011-11-23,46.8269
2011-11-24,46.2789
2011-11-25,46.0987
2011-11-28,46.8269
2011-11-29,46.3526
2011-11-30,49.239
2011-12-01,47.7794
2011-12-02,47.5613
2011-12-05,49.239
2011-12-06,48.2895
2011-12-07,48.6581
2011-12-08,47.489
2011-12-09,47.5977
2011-12-12,47.6692
2011-12-13,48.2895
2011-12-14,49.3894
2011-12-15,49.1712
2011-12-16,49.7513
2011-12-19,48.8034
2011-12-20,50.4885
2011-12-21,49.1712
